2026-05-29 06:02:34 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:34 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:34 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:34 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:34 | INFO     | src.controllers.trading_controller | Signal: HOLD
2026-05-29 06:02:34 | INFO     | main | Cycle 13 completed: HOLD
2026-05-29 06:02:34 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:34 | INFO     | main | 
############################################################
2026-05-29 06:02:34 | INFO     | main |   CYCLE #14
2026-05-29 06:02:34 | INFO     | main | ############################################################
2026-05-29 06:02:34 | INFO     | src.controllers.trading_controller | ========================================
Cycle #14
2026-05-29 06:02:34 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:34 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:35 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
2026-05-29 06:02:35 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:35 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:35 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:35 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:35 | INFO     | src.controllers.trading_controller | Signal: HOLD
2026-05-29 06:02:35 | INFO     | main | Cycle 14 completed: HOLD
2026-05-29 06:02:35 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:35 | INFO     | main | 
############################################################
2026-05-29 06:02:35 | INFO     | main |   CYCLE #15
2026-05-29 06:02:35 | INFO     | main | ############################################################
2026-05-29 06:02:35 | INFO     | src.controllers.trading_controller | ========================================
Cycle #15
2026-05-29 06:02:36 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:36 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:36 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
2026-05-29 06:02:36 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:36 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:36 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:36 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:37 | INFO     | src.controllers.trading_controller | Signal: HOLD
2026-05-29 06:02:37 | INFO     | main | Cycle 15 completed: HOLD
2026-05-29 06:02:37 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:37 | INFO     | main | 
############################################################
2026-05-29 06:02:37 | INFO     | main |   CYCLE #16
2026-05-29 06:02:37 | INFO     | main | ############################################################
2026-05-29 06:02:37 | INFO     | src.controllers.trading_controller | ========================================
Cycle #16
2026-05-29 06:02:37 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:37 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:37 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
2026-05-29 06:02:38 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:38 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:38 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:38 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:38 | INFO     | src.controllers.trading_controller | Signal: HOLD
2026-05-29 06:02:38 | INFO     | main | Cycle 16 completed: HOLD
2026-05-29 06:02:38 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:38 | INFO     | main | 
############################################################
2026-05-29 06:02:38 | INFO     | main |   CYCLE #17
2026-05-29 06:02:38 | INFO     | main | ############################################################
2026-05-29 06:02:38 | INFO     | src.controllers.trading_controller | ========================================
Cycle #17
